age_range,month_nm,sample_cnt,retention,ARPU,LTV
10?€,M-0,100,1,28373,28373
10?€,M-1,35,0.35,21899,7664.65
10?€,M-2,17,0.17,27979,4756.43
10?€,M-3,16,0.16,40757,6521.12
10?€,M-4,17,0.17,26371,4483.07
10?€,M-5,13,0.13,31412,4083.56
10?€,over_5m,22,0.22,32265,55881.83
20?€,M-0,100,1,29643,29643
20?€,M-1,50,0.5,25855,12927.5
20?€,M-2,30,0.3,53097,15929.1
20?€,M-3,24,0.24,28959,6950.16
20?€,M-4,25,0.25,36823,9205.75
20?€,M-5,23,0.23,37723,8676.29
20?€,over_5m,33,0.33,41046,83331.8
30?€,M-0,100,1,35163,35163
30?€,M-1,59,0.59,43769,25823.71
30?€,M-2,29,0.29,41807,12124.03
30?€,M-3,31,0.31,43410,13457.1
30?€,M-4,27,0.27,40954,11057.58
30?€,M-5,32,0.32,43810,14019.2
30?€,over_5m,39,0.39,47180,111644.62
40?€,M-0,100,1,31157,31157
40?€,M-1,52,0.52,34799,18095.48
40?€,M-2,33,0.33,38591,12735.03
40?€,M-3,23,0.23,37891,8714.93
40?€,M-4,29,0.29,38513,11168.77
40?€,M-5,30,0.3,41523,12456.9
40?€,over_5m,36,0.36,41574,94328.11
50?€,M-0,100,1,29242,29242
50?€,M-1,49,0.49,34739,17022.11
50?€,M-2,33,0.33,41258,13615.14
50?€,M-3,26,0.26,45646,11867.96
50?€,M-4,28,0.28,44951,12586.28
50?€,M-5,26,0.26,44974,11693.24
50?€,over_5m,32,0.32,47070,96026.73
23 ³â 1¿ù °¡ÀÔÀÚ Áß 30´ë°¡ Ã¹ÁÖ¹® ÀÌÈÄ 5°³¿ù±îÁö °¡Àå ³ôÀº LTV¸¦ ³ªÅ¸³¿ ,,,,,
